报表日期	20180630	20180331	20171231	20170930	20170630	20170331	20161231	20160930	20160630	20160331	20151231	20150930	20150630	20141231	20131231	20121231	19700101	
单位	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元		
流动资产
货币资金	24834546043.00	16825946004.00	21947321262.00	18225441076.00	20173237870.00	12052023856.00	13401404905.00	16430667793.00	10827709257.00	9795410979.70	6469420829.00	4851268855.12	5290469600.00	5082813500.00	6263522400.00	4382141300.00	0	
交易性金融资产	0	324739262.00	0	0	0	0	0	142774808.00	142774809.00	0	0	0	0	0	0	0	0	
衍生金融资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应收票据	0	4000000.00	4000000.00	4000000.00	2000000.00	3000000.00	5000000.00	0	3599999.00	9251999.09	17570050.00	3896883.70	31574800.00	31317300.00	4400000.00	300000.00	0	
应收账款	0	85690259.00	68875921.00	45458828.00	33084681.00	39221762.00	25912671.00	19579830.00	9395085.00	20764080.70	5605670.00	12946468.61	14297300.00	11375900.00	2261500.00	3276900.00	0	
预付款项	11390485591.00	8829961943.00	10263357589.00	6395914364.00	7442884105.00	13185617088.00	7480655852.00	6160686703.00	1352381536.00	5430676574.82	6874853721.00	3694261781.53	3220410400.00	2880650800.00	3442903700.00	4403337700.00	0	
应收利息	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应收股利	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
其他应收款	48352641132.00	33828113768.00	28520226216.00	21338621601.00	16048483134.00	17023431287.00	17173425203.00	11319740924.00	9346351470.00	6726388945.59	3840530474.00	3610863863.46	1691570200.00	2308359400.00	1097057300.00	543887100.00	0	
买入返售金融资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
存货	105362997106.00	87937353713.00	76379083643.00	64996019716.00	60634660075.00	46814177006.00	39492552785.00	43699469937.00	38432201482.00	36093046767.36	32727726899.00	38102525647.70	33493726800.00	29830428300.00	28672797600.00	24467310000.00	0	
划分为持有待售的资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
一年内到期的非流动资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
待摊费用	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
待处理流动资产损益	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
其他流动资产	7440943530.00	4929600545.00	4470401507.00	4120599555.00	3688059882.00	2718954468.00	2595392480.00	2517116646.00	2175056971.00	1957850494.14	1499561103.00	1778479791.72	1381447900.00	1260127200.00	947039100.00	1021731100.00	0	
流动资产合计	197489184402.00	152555075589.00	141653266138.00	115126055140.00	108022409747.00	91836425467.00	80174343896.00	80290036641.00	62289470609.00	60033389841.40	51435268746.00	52054243291.84	45123497100.00	41405072400.00	40429981700.00	34821984000.00	0	
非流动资产
发放贷款及垫款	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
可供出售金融资产	0	0	324739262.00	296639262.00	296639262.00	293219262.00	293065262.00	283065262.00	285335262.00	233985262.09	233985262.00	259885262.09	269542400.00	259628900.00	221186600.00	181186600.00	0	
持有至到期投资	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
长期应收款	133894170.00	171606989.00	171606989.00	171606989.00	171606989.00	171606989.00	163696425.00	154105829.00	140168397.00	119792897.68	119792898.00	113492846.55	113492800.00	98107800.00	198537800.00	0	0	
长期股权投资	14386070604.00	13191579827.00	13387020244.00	11494356349.00	9456787689.00	4610821354.00	4549880125.00	3549195150.00	3653324904.00	3208943354.52	2189360310.00	1940406192.00	1203166600.00	907371900.00	53468100.00	229890400.00	0	
投资性房地产	28883000000.00	23742796715.00	23496000000.00	17725110375.00	17246000000.00	14263938349.00	13506825892.00	11456000000.00	11456000000.00	11112767559.73	10854000000.00	8346293670.30	7729000000.00	5936000000.00	3307000000.00	3105600000.00	0	
固定资产净额	2114197498.00	2147555676.00	2183463738.00	2122377845.00	1835390380.00	1866487491.00	1885864133.00	1894246278.00	1890757949.00	1906803907.21	1928734816.00	679319104.86	691559900.00	711603700.00	103318700.00	91147100.00	0	
在建工程	0	0	0	0	0	0	0	0	0	0	0	538784036.41	0	0	0	0	0	
工程物资	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
固定资产清理	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
生产性生物资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
公益性生物资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
油气资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
无形资产	95728453.00	92069900.00	95206894.00	94079856.00	93771994.00	94524390.00	92941334.00	87464001.00	88182814.00	84310848.89	79180141.00	43896316.68	43505200.00	45029200.00	9835900.00	7266600.00	0	
开发支出	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
商誉	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
长期待摊费用	42804902.00	33276461.00	29710020.00	21179400.00	18646369.00	20629021.00	26043635.00	30014584.00	30698810.00	43267177.73	41833209.00	41951704.86	34391300.00	27335000.00	12470500.00	25660000.00	0	
递延所得税资产	2148683230.00	1785307922.00	1605316157.00	1189219518.00	1061299571.00	801231077.00	772749496.00	639832422.00	618412301.00	612097868.46	552712567.00	534694341.75	473838700.00	477965400.00	499696300.00	358219200.00	0	
其他非流动资产	538293925.00	743331252.00	580331925.00	578462456.00	1639098449.00	1812858394.00	1705197294.00	635269647.00	1344095565.00	367247647.00	367247647.00	1274285638.00	1274285600.00	1245683600.00	367247600.00	367247600.00	0	
非流动资产合计	48748412044.00	42232264004.00	41873395229.00	33693032050.00	31819240703.00	23935316327.00	22996263596.00	18729193173.00	19506976002.00	17689216523.31	16366846850.00	13773009113.50	11832782500.00	9708725400.00	4772761500.00	4366217600.00	0	
资产总计	246237596446.00	194787339593.00	183526661367.00	148819087190.00	139841650450.00	115771741794.00	103170607492.00	99019229814.00	81796446611.00	77722606364.71	67802115596.00	65827252405.34	56956279600.00	51113797800.00	45202743200.00	39188201600.00	0	
流动负债
短期借款	1485930000.00	0	750000000.00	4396559184.00	4264759184.00	852500000.00	778615000.00	1824000000.00	2120465469.00	1525558847.90	161000000.00	1722470162.16	1886881600.00	1878439300.00	577500000.00	1522576300.00	0	
交易性金融负债	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应付票据	0	1778545707.00	2020261707.00	1803708000.00	2477544617.00	2131516127.00	1660613542.00	1338029671.00	894252677.00	671743934.00	451523230.00	303374221.59	718110000.00	452309800.00	659238000.00	637482100.00	0	
应付账款	0	18094429831.00	19527567683.00	12567179908.00	12446999147.00	9471142228.00	12107570013.00	10403587000.00	10895724243.00	9255052123.71	11481458627.00	11223201592.41	10166359500.00	9288126100.00	8073819100.00	8118823400.00	0	
预收款项	0	0	50813608697.00	49749929229.00	42299448355.00	36862856953.00	29828457266.00	34714904836.00	24015076656.00	21169470993.40	15849354917.00	19869544703.32	15108171900.00	13163120900.00	10216494800.00	11652865100.00	0	
应付手续费及佣金	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应付职工薪酬	112566918.00	71103421.00	1159662635.00	9436756.00	78243251.00	9832529.00	450519597.00	14641004.00	47867669.00	10552758.20	140943765.00	7761162.04	24551200.00	119809400.00	127098400.00	71874300.00	0	
应交税费	2731915074.00	2925900528.00	4117434190.00	1364522055.00	1262652938.00	1127899591.00	1784923840.00	266747510.00	664647020.00	1097006579.87	1182429214.00	547627988.47	523863000.00	1017219100.00	1014910400.00	750854200.00	0	
应付利息	0	579390233.00	564463072.00	620613127.00	668056644.00	361425636.00	306215234.00	375778461.00	420429984.00	251401421.99	140220696.00	48628291.15	183229400.00	105085100.00	38849700.00	125395700.00	0	
应付股利	0	0	0	0	0	0	0	805000.00	805000.00	805000.00	805000.00	805000.00	805000.00	805000.00	805000.00	805000.00	0	
其他应付款	47930557209.00	32988046700.00	35331571447.00	22322526121.00	21877361977.00	17098692804.00	15498209491.00	13457050499.00	10546774556.00	12530527426.78	11276363594.00	8419025907.61	5930578600.00	4515668700.00	2088329500.00	514503700.00	0	
预提费用	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
一年内的递延收益	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应付短期债券	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
一年内到期的非流动负债	12864488348.00	10309458398.00	12196204851.00	8083010329.00	10063778677.00	9570757219.00	6533149335.00	1534619500.00	1856619500.00	460000000.00	634200000.00	1167600000.00	876100000.00	1191800000.00	1531459000.00	3607860000.00	0	
其他流动负债	8027253482.00	5993276449.00	3995568593.00	2904364444.00	2469658861.00	2121953318.00	2124063490.00	664377887.00	716235873.00	425313597.33	704323327.00	471132546.64	447150900.00	702722600.00	849484400.00	524325300.00	0	
流动负债合计	176130849893.00	133493117438.00	130476342875.00	103821849153.00	97908503651.00	79608576405.00	71072336808.00	64594541368.00	52178898647.00	47397432683.18	42022622370.00	43781171575.39	35865800900.00	32435106000.00	25177988400.00	27527365000.00	0	
非流动负债
长期借款	16229249522.00	14349638325.00	10580707222.00	18754520868.00	15982261239.00	10542796808.00	4856702790.00	8086077165.00	5826328316.00	6259972772.72	4237167500.00	5686252710.00	5765780000.00	3795900000.00	9048000000.00	4509670000.00	0	
应付债券	23139729560.00	18609066680.00	14857438348.00	7964091786.00	7958946283.00	7953852518.00	9786398365.00	11278596115.00	8794319030.00	9954997286.90	6949013010.00	1986574439.08	1984792200.00	1981419100.00	0	0	0	
长期应付款	0	0	0	0	0	36670220.00	36670220.00	35602949.00	35602949.00	0	0	356287373.87	0	0	0	0	0	
长期应付职工薪酬	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
专项应付款	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
预计非流动负债	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
递延所得税负债	1962369765.00	1570020358.00	1630398620.00	1139390681.00	1095333069.00	1064589927.00	1050544984.00	937935953.00	899835038.00	722488186.96	721783286.00	643085393.29	616319100.00	651272700.00	418645600.00	402871600.00	0	
长期递延收益	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
其他非流动负债	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
非流动负债合计	41331348847.00	34528725363.00	27068544190.00	27858003335.00	25036540591.00	19597909473.00	15730316359.00	20338212182.00	15556085333.00	16937458246.58	11907963796.00	8672199916.24	8366891300.00	6428591800.00	9466645600.00	4912541600.00	0	
负债合计	217462198740.00	168021842801.00	157544887065.00	131679852488.00	122945044242.00	99206485878.00	86802653167.00	84932753550.00	67734983980.00	64334890929.76	53930586166.00	52453371491.63	44232692300.00	38863697700.00	34644633900.00	32439906600.00	0	
所有者权益
实收资本(或股本)	2257384186.00	2257384186.00	2258484186.00	2258484186.00	2258484186.00	2258984186.00	2258984186.00	2220484186.00	2220484186.00	1708064758.00	1708064758.00	1166000000.00	1166000000.00	1100000000.00	600000000.00	600000000.00	0	
资本公积	2628362827.00	2620812973.00	2619753118.00	2604036200.00	2608968291.00	2591206741.00	2570495191.00	2361284597.00	2361284597.00	2925918000.16	2925918000.00	167549774.50	125238200.00	110655500.00	529975100.00	64221000.00	0	
减：库存股	127526400.00	145096800.00	152686800.00	249660000.00	249660000.00	265650000.00	265650000.00	0	0	0	0	0	0	0	0	0	0	
其他综合收益	305002240.00	295744631.00	326569631.00	2079781.00	2079781.00	2079781.00	2079781.00	-27331015.00	-27331015.00	44158522.00	44158522.00	0	59432500.00	53506800.00	0	0	0	
专项储备	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
盈余公积	67649146.00	67649146.00	67649146.00	67649146.00	67649146.00	67649146.00	67649146.00	360655351.00	360655351.00	46643557.19	46643557.00	0	0	47653100.00	0	0	0	
一般风险准备	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
未分配利润	16438072317.00	16088271840.00	15503793766.00	11466729254.00	10614115387.00	10262457285.00	10220185809.00	7790917082.00	7760304729.00	7212736790.65	7406433876.00	6065002505.02	6075876700.00	5645680600.00	4928920000.00	3754591300.00	0	
归属于母公司股东权益合计	21568944316.00	21184765976.00	20623563047.00	16149318567.00	15301636791.00	14916727139.00	14853744113.00	12706010201.00	12675397848.00	11937521628.00	12131218713.00	7398552279.52	7426547400.00	6957496000.00	6058895100.00	4418812300.00	0	
少数股东权益	7206453390.00	5580730816.00	5358211255.00	989916135.00	1594969417.00	1648528777.00	1514210212.00	1380466063.00	1386064783.00	1450193806.95	1740310717.00	5975328634.19	5297039900.00	5292604100.00	4499214100.00	2329482600.00	0	
所有者权益(或股东权益)合计	28775397706.00	26765496792.00	25981774302.00	17139234702.00	16896606208.00	16565255916.00	16367954325.00	14086476264.00	14061462631.00	13387715434.95	13871529430.00	13373880913.71	12723587300.00	12250100100.00	10558109200.00	6748295000.00	0	
负债和所有者权益(或股东权益)总计	246237596446.00	194787339593.00	183526661367.00	148819087190.00	139841650450.00	115771741794.00	103170607492.00	99019229814.00	81796446611.00	77722606364.71	67802115596.00	65827252405.34	56956279600.00	51113797800.00	45202743200.00	39188201600.00	0	
